"mobile_PM2.5","dist_airport","emission_titleV","road_percent","highway_percent","dist_railroad","dist_highway","AADT","truckAADT","truck_percentile","Open_Water","Developed_Open_Space","Developed_Low_Intensity","Developed_Medium_Intensity","Forest","Herbaceous","Agriculture","Shrub_Scrub","Woody_Wetlands","Emergent_Herbaceuous_Wetlands","Barren_land","Developed_High_Intensity","dist_green","canopy","NDVI","pop_den","building_percent","DEM","temp","pressure","humidity","mixingLayer","windspeed","vwind","uwind"
6.537,8345.58199542107,2.25397569269674,0.1512,0.0264,130.264241825255,247.926078916306,1714.25210084034,74.3613445378151,0.420168067226891,0,15.5844520275584,55.4623145686637,28.4187066384888,0,0,0,0,0,0,0,0.916732472209317,191.036815762515,19.0182648401826,0.251656851537215,512.24,9.27455035387972,179.333333333333,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
6.548,7869.16728432121,2.24791432186031,0.0496,0.0264,119.461531490031,226.000208606122,4979.80952380952,229.809523809524,0.904761904761905,0,11.0007896665118,31.6272702912214,18.3346494441863,0,0,0,0,0,0,0,38.961130068896,549.040601696145,0.798165137614679,0.177953054034636,160.52,14.895283932147,182.608808290155,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
7.14611111111111,8212.14158850062,2.33938385234924,0.1276,0.0188,30.2641639791831,211.624323699442,985.260869565217,32.195652173913,1.89130434782609,0,4.58366236104659,61.4210756380243,28.8770728745935,0,0,0,0,0,0,0,3.66692988883727,596.650770549822,24.3023255813953,0.216928427883734,607,9.9585731883751,178.341968911917,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
7.1672,7727.50440801663,2.32422844578417,0.1368,0.06,284.659815343504,71.2066582092536,3437.1724137931,154.275862068966,1.17241379310345,0,0.916732472209317,11.9175221387211,48.5868210270938,0,0,0,0,0,0,0,38.961130068896,885.404278034895,10.8904109589041,0.133328660319262,195.36,11.6625809575768,183.378590078329,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
6.808,8599.69448239482,2.46663309671833,0.1556,0.0224,184.563062333089,19.5008379602944,2031.74193548387,43.6236559139785,0,0,1.37509870831398,33.0023689995354,64.1712730546522,0,0,0,0,0,0,0,1.37509870831398,536.64833749653,18.9403669724771,0.195777793419667,704.28,17.9170160504778,180.837628865979,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
6.30190476190476,8107.39169504389,2.45229335001136,0.0884,0.0224,6.18180918969706,61.3271431963953,1966.41732283465,70.5196850393701,0,0,0.458366236104659,9.62569095819783,24.7517767496516,0,0,0,0,0,0,0,66.0047379990708,924.824984418877,4.49090909090909,0.110118086003343,432.36,15.2994238632153,178.188481675393,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
7.40434782608696,7616.09184576982,2.42166022291278,0.0996,0.0524,44.9060169086415,54.7986427786787,5826.92156862745,276.006535947712,0.457516339869281,0,0.916732472209317,11.9175221387211,32.0856365273261,0,0,0,0,0,0,0,53.6288496242451,1266.2690829968,6.62616822429907,0.116713125525469,257.64,8.26745342482298,179.657963446475,12.0039721133104,100309.022527985,78.0793636265086,0,3.34334452946981,0.0672209277081845,0.583126773051362
6.28,5184.60505100203,2.23987812777474,0.0596,0.0588,430.897737987335,65.1408317837476,28047,3454,90,0,19.7097481525003,14.6677195553491,11.0007896665118,3.20856365273261,0,11.4591559026165,0,40.33622877721,0,0,0,930.335929428442,24.2328767123288,0.16992605539338,147.68,0.0407678901012754,181.816062176166,13.1009634444963,100064.992677239,77.6550166571318,0,3.68417380253474,0.27959266313866,1.2079343756633
6.62,4706.92940686501,2.21590364229573,0.0704,0.0396,385.898830775784,103.851726353999,7141.27536231884,506.840579710145,8.39130434782609,0,14.2093533192444,26.1268754579655,19.7097481525003,4.12529612494193,0,14.6677195553491,0,16.9595507358724,0,0,3.20856365273261,1098.8418165914,15.4398148148148,0.225789204896114,158.28,3.57492207794495,184.111111111111,13.1009634444963,100064.992677239,77.6550166571318,0,3.68417380253474,0.27959266313866,1.2079343756633
6.974,4234.41133424062,2.19671537790126,0.028,0.028,274.636815169521,123.471838617822,4442.64285714286,328.285714285714,1.78571428571429,0,11.4591559026165,16.9595507358724,12.8342546109304,3.66692988883727,0,44.9198911382565,0,9.62569095819783,0,0,1.83346494441863,1428.93248126496,12.0769230769231,0.241548337378376,170.2,1.88859803545592,183.474093264249,13.1009634444963,100064.992677239,77.6550166571318,0,3.68417380253474,0.27959266313866,1.2079343756633
6.24384615384615,8529.08411365587,2.64072363231993,0.1868,0,99.4621165848863,480.461336516129,850.341772151899,31.6075949367089,0,0,1.83346494441863,33.9191014717447,62.3378081102336,0,0,0,0,0,0,0,2.29183118052329,551.237439333181,12.0821917808219,0.243815245574866,630.64,12.0802248001988,178.490909090909,12.6242378348735,99817.1568563433,76.737899125512,0,3.52279544870059,0.32151197230638,0.925819313704078
6.61428571428571,8032.45483797773,2.60551232918338,0.0372,0,23.0596951001186,424.677346002982,1459,58,0,0,2.29183118052329,22.4599455691283,37.586031360582,0,0,0,0,0,0,0,37.1276651244773,1048.26331772534,9.00460829493088,0.180103758840729,324.24,10.1612768704379,177.614987080103,12.6242378348735,99817.1568563433,76.737899125512,0,3.52279544870059,0.32151197230638,0.925819313704078
